"DataSet","Year","Pop_Name","CU_Name","SpnForAbd_Total","SpnForTrend_Total","SpnForTrend_Wild","SpnForAbd_Wild","Recruits_Total","Recruits_Wild","Pop_ID","CU_ID","DU_ID"
"Sk_Fraser",1938,"Momich River","Shuswap Complex - Late",0,0,0,0,NA,NA,46269,"L-09-03",NA
"Sk_Fraser",1938,"Salmon River","Shuswap Complex - Late",0,0,0,0,NA,NA,46399,"L-09-02",NA
"Sk_Fraser",1938,"Salmon River","Shuswap Complex - Late",0,0,0,0,NA,NA,46400,"L-09-03",NA
"Sk_Fraser",1938,"Scotch Creek","Shuswap Complex - Late",2039,490,490,2039,NA,NA,46288,"L-09-02",NA
"Sk_Fraser",1938,"Scotch Creek","Shuswap Complex - Late",2039,490,490,2039,NA,NA,46289,"L-09-03",NA
"Sk_Fraser",1938,"Seymour River","Shuswap Complex - Late",0,0,0,0,NA,NA,46328,"L-09-02",NA
"Sk_Fraser",1938,"Seymour River","Shuswap Complex - Late",0,0,0,0,NA,NA,46329,"L-09-03",NA
"Sk_Fraser",1938,"Shuswap Lake","Shuswap Complex - Late",1130,443,443,1130,NA,NA,45764,"L-09-03",NA
"Sk_Fraser",1938,"Sinmax Creek","Shuswap Complex - Late",0,0,0,0,NA,NA,46258,"L-09-02",NA
"Sk_Fraser",1938,"Sinmax Creek","Shuswap Complex - Late",0,0,0,0,NA,NA,46259,"L-09-03",NA
"Sk_Fraser",1938,"South Thompson River","Shuswap Complex - Late",0,0,0,0,NA,NA,46218,"L-09-03",NA
"Sk_Fraser",1938,"Kazchek Creek","Takla-Trembleur-Stuart - Summer",0,0,0,0,NA,NA,45559,"L-06-14",NA
"Sk_Fraser",1938,"Kazchek Creek","Takla-Trembleur-Stuart - Summer",0,0,0,0,NA,NA,45560,"L-06-13",NA
"Sk_Fraser",1938,"Kuzkwa Creek","Takla-Trembleur-Stuart - Summer",0,0,0,0,NA,NA,45554,"L-06-13",NA
"Sk_Fraser",1938,"Middle River","Takla-Trembleur-Stuart - Summer",62,27,27,62,NA,NA,45552,"L-06-13",NA
"Sk_Fraser",1938,"Pinchi Creek","Takla-Trembleur-Stuart - Summer",0,0,0,0,NA,NA,45539,"L-06-13",NA
"Sk_Fraser",1938,"Sakeniche River","Takla-Trembleur-Stuart - Summer",0,0,0,0,NA,NA,45577,"L-06-14",NA
"Sk_Fraser",1938,"Sakeniche River","Takla-Trembleur-Stuart - Summer",0,0,0,0,NA,NA,45578,"L-06-13",NA
"Sk_Fraser",1938,"Tachie River","Takla-Trembleur-Stuart - Summer",0,0,0,0,NA,NA,45549,"L-06-13",NA
"Sk_Fraser",1938,"Chilliwack Lake","Chilliwack - Early Summer",25,13,13,25,NA,NA,45092,"L-03-01",NA
"Sk_Fraser",1938,"Cultus Lake","Cultus - Late",13342,3547,3547,13342,NA,NA,45093,"L-03-02",NA
"Sk_Fraser",1938,"Emory Creek","CU not identified",0,0,0,0,NA,NA,NA,NA,NA
"Sk_Fraser",1938,"Nahatlatch Lake","Nahatlatch - Early Summer",0,0,0,0,NA,NA,45094,"L-05-02",NA
"Sk_Fraser",1938,"Spuzzum Creek","CU not identified",7,0,0,7,NA,NA,NA,NA,NA
"Sk_Fraser",1938,"Sucker Creek","Kawkawa - Late",31,16,16,31,NA,NA,NA,NA,NA
"Sk_Fraser",1938,"Upper Pitt River","Pitt - Early Summer",8457,2894,2894,8457,NA,NA,47917,"L-03-05",NA
"Sk_Fraser",1938,"Widgeon Slough","Widgeon - Late",400,197,197,400,NA,NA,47954,"R-02",NA
"Sk_Fraser",1938,"Bridge River","Middle Fraser - Summer",0,0,0,0,NA,NA,NA,NA,NA
"Sk_Fraser",1938,"Bednesti Creek","Francois-Fraser - Summer",0,0,0,0,NA,NA,NA,NA,NA
