Base.Unit.CU.ID,Base.Unit.CU.ShortName,Year,Metric,Value
SEL-L-10-03,North_Barriere_ES,2012,Recent.EFS,2217
SEL-L-05-02,Nahatlatch_ES,2012,Recent.EFS,849
SEL-L-06-16,Taseko_ES,2012,Recent.EFS,118
SEL-L-03-01,Chilliwack_ES,2012,Recent.EFS,2398
SEL-L-06-01,Anderson_Seton_ES,2012,Recent.EFS,2441
SEL-L-06-03,Chilko_S_ES,2012,Recent.EFS,163789
SEL-L-06-07,Fran_Fras_S,2012,Recent.EFS,46414
SEL-L-03-02,Cultus_L,2012,Recent.EFS,296
SEL-L-06-11,Seton-L,2012,Recent.EFS,1369
SEL-L-03-04,Harrison_US_L,2012,Recent.EFS,8765
SER-R02,Widgeon_RT,2012,Recent.EFS,89
SEL-L-04-01,Lillooet_Harr_L,2012,Recent.EFS,35808
SEL-L-03-03,Harrison_DS_L,2012,Recent.EFS,3196
SEL-L-09-02,Shuswap_ES,2012,Recent.EFS,8868
SEL-L-06-14,Takla_Trem_Estu,2012,Recent.EFS,11195
SEL-L-06-10,Quesnel_S,2012,Recent.EFS,39952
SEL-L-06-13,Takla_Trem_S_S,2012,Recent.EFS,21960
SEL-L-09-03,Shuswap_L,2012,Recent.EFS,19711
SER-R03,Harrison_RT,2012,Recent.EFS,42768
SEL-L-03-05,Pitt_ES,2017,Lower.Bench,6239.812977
SEL-L-06-20,Nadina_Francois_ES,2017,Lower.Bench,21693.77282
SEL-L-10-01,Kamloops_ES,2017,Lower.Bench,4958.276905
SEL-L-07-01,Bowron_ES,2017,Lower.Bench,5047.243199
SEL-L-10-03,North_Barriere_ES,2017,Lower.Bench,639.8998622
SEL-L-05-02,Nahatlatch_ES,2017,Lower.Bench,
SEL-L-06-16,Taseko_ES,2017,Lower.Bench,
SEL-L-03-01,Chilliwack_ES,2017,Lower.Bench,8000
SEL-L-06-01,Anderson_Seton_ES,2017,Lower.Bench,3662
SEL-L-06-03,Chilko_S_ES,2017,Lower.Bench,72471.19703
SEL-L-06-07,Fran_Fras_S,2017,Lower.Bench,24255.73795
SEL-L-03-02,Cultus_L,2017,Lower.Bench,14634.1485
SEL-L-06-11,Seton-L,2017,Lower.Bench,2192.530547
SEL-L-03-04,Harrison_US_L,2017,Lower.Bench,10730.6527
SER-R02,Widgeon_RT,2017,Lower.Bench,
SEL-L-04-01,Lillooet_Harr_L,2017,Lower.Bench,14177.70248
SEL-L-03-03,Harrison_DS_L,2017,Lower.Bench,
SEL-L-09-02,Shuswap_ES,2017,Lower.Bench,36380
SEL-L-06-14,Takla_Trem_Estu,2017,Lower.Bench,97682
SEL-L-06-10,Quesnel_S,2017,Lower.Bench,180491
SEL-L-06-13,Takla_Trem_S_S,2017,Lower.Bench,112600
SEL-L-09-03,Shuswap_L,2017,Lower.Bench,310783
SER-R03,Harrison_RT,2017,Lower.Bench,38927.65718
SEL-L-03-05,Pitt_ES,2012,Lower.Bench,6000
SEL-L-06-20,Nadina_Francois_ES,2012,Lower.Bench,17000
SEL-L-10-01,Kamloops_ES,2012,Lower.Bench,6000
SEL-L-07-01,Bowron_ES,2012,Lower.Bench,4000
SEL-L-10-03,North_Barriere_ES,2012,Lower.Bench,510
SEL-L-05-02,Nahatlatch_ES,2012,Lower.Bench,
SEL-L-06-16,Taseko_ES,2012,Lower.Bench,
SEL-L-03-01,Chilliwack_ES,2012,Lower.Bench,8000
SEL-L-06-01,Anderson_Seton_ES,2012,Lower.Bench,3000
SEL-L-06-03,Chilko_S_ES,2012,Lower.Bench,39000
SEL-L-06-07,Fran_Fras_S,2012,Lower.Bench,42000
SEL-L-03-02,Cultus_L,2012,Lower.Bench,12000
SEL-L-06-11,Seton-L,2012,Lower.Bench,1000
SEL-L-03-04,Harrison_US_L,2012,Lower.Bench,9000
SER-R02,Widgeon_RT,2012,Lower.Bench,
SEL-L-04-01,Lillooet_Harr_L,2012,Lower.Bench,11000
SEL-L-03-03,Harrison_DS_L,2012,Lower.Bench,
SEL-L-09-02,Shuswap_ES,2012,Lower.Bench,36380
SEL-L-06-14,Takla_Trem_Estu,2012,Lower.Bench,97682
SEL-L-06-10,Quesnel_S,2012,Lower.Bench,180491
SEL-L-06-13,Takla_Trem_S_S,2012,Lower.Bench,112600
SEL-L-09-03,Shuswap_L,2012,Lower.Bench,310783
SER-R03,Harrison_RT,2012,Lower.Bench,9000
SEL-L-03-05,Pitt_ES,2017,Upper.Bench,20333.40732
SEL-L-06-20,Nadina_Francois_ES,2017,Upper.Bench,68272.6022
SEL-L-10-01,Kamloops_ES,2017,Upper.Bench,17838.24298
SEL-L-07-01,Bowron_ES,2017,Upper.Bench,18580.24531
SEL-L-10-03,North_Barriere_ES,2017,Upper.Bench,5097.027719
SEL-L-05-02,Nahatlatch_ES,2017,Upper.Bench,
SEL-L-06-16,Taseko_ES,2017,Upper.Bench,
SEL-L-03-01,Chilliwack_ES,2017,Upper.Bench,16000
